	HIDE	ZORDER	SCALE	ROTATION	CLASS	TPRIORITY	SWALLOW	SYSLANGID	FSYLEID	FSIZE	COLOR-R	COLOR-G	COLOR-B	COLOR-ALPHA	FILE1	FILE2	FILE3	WIDTH	HEIGHT	ANCHOR-X	ANCHOR-Y	POS-X	POS-Y	IP5-POS-X	IP5-POS-Y	IPAD-POS-X	IPAD-POS-Y	ANDROID-POS-X	ANDROID-POS-Y	ANDROID16_10-POS-X	ANDROID16_10-POS-Y	SOUNDID	OTHERS
0	0	-1	1	0	CMapScrollView	0	0	0	0	0	0	0	0	0	0	0	0	1136	768	0	0	-40	0	0	0	-50	0	-30	0	-70	0	-1	地图滚动器
1	0	1	1	0	HWMoreItem	-1	1	0	0	0	0	0	0	0	resource/image/homescene/yx.png	0	0	0.9	0.9	0.5	0.5	637	60	697	60	585	60	627.66	60	587.66	60	-1	图鉴
2	0	1	1	0	HWMoreItem	-1	1	0	0	0	0	0	0	0	resource/image/homescene/beibao.png	0	0	0.9	0.9	0.5	0.5	737	60	797	60	685	60	727.66	60	687.66	60	-1	背包
3	0	1	1	0	HWMoreItem	-1	1	0	0	0	0	0	0	0	resource/image/homescene/qiangh.png	0	0	0.9	0.9	0.5	0.5	837	60	897	60	785	60	827.66	60	787.66	60	-1	强化
4	0	1	1	0	HWMoreItem	-1	1	0	0	0	0	0	0	0	resource/image/homescene/haoyou.png	0	0	0.9	0.9	0.5	0.5	937	60	997	60	885	60	927.66	60	887.66	60	-1	好友
5	0	1	1	0	HWMoreItem	-1	1	0	0	0	0	0	0	0	resource/image/homescene/shezhi.png	0	0	0.9	0.9	0.5	0.5	1032	170	1092	170	980	170	1022.66	170	982.66	170	-1	系统
6	0	1	1	0	CMenuItemSpriteSI	-1	1	0	0	0	0	0	0	0	resource/image/homescene/cc.png	0	0	0.9	0.9	0.5	0.5	1032	687	1092	602	980	730	1022.66	602	982.66	602	-1	快速出城
7	1	1	1	0	CMenuItemSpriteSI	-1	1	0	0	0	0	0	0	0	resource/image/homescene/cz.png	0	0	0.9	0.9	0.5	0.5	792	667	852	582	980	710	782.66	582	742.66	582	-1	充值（废弃）
8	0	1	1	0	CMenuItemSpriteSI	-1	1	0	0	0	0	0	0	0	resource/image/homescene/shangc.png	0	0	0.9	0.9	0.5	0.5	1032	472	1092	387	980	515	1022.66	387	982.66	387	-1	商城
9	1	1	1	0	CMenuItemSpriteSI	-1	1	0	0	0	0	0	0	0	resource/image/homescene/lua.png	0	0	0.9	0.9	0.5	0.5	1032	372	1092	287	980	415	1022.66	287	982.66	287	-1	Lua测试挂载
10	0	1	1	0	CMenuItemSpriteSI	-1	1	0	0	0	0	0	0	0	resource/image/homescene/taofamwang.png	0	0	0.9	0.9	0.5	0.5	602	687	662	602	550	730	592.66	602	552.66	602	-1	讨伐魔王
11	0	1	1	0	CMenuItemSpriteSI	-1	1	0	0	0	0	0	0	0	resource/image/homescene/dj.png	0	0	0.9	0.9	0.5	0.5	712	687	772	602	660	730	702.66	602	662.66	602	-1	征收
12	0	1	1	0	CMenuItemSpriteSI	-1	1	0	0	0	0	0	0	0	resource/image/homescene/youxiang.png	0	0	0.9	0.9	0.5	0.5	55	422	55	337	55	465	55	337	55	337	-1	邮箱
13	0	1	1	0	CMenuItemSpriteSI	-1	1	0	0	0	0	0	0	0	resource/image/homescene/cz.png	0	0	0.9	0.9	0.5	0.5	1032	572	1092	487	980	615	1022.66	487	982.66	487	-1	充值
14	0	1	1	0	CMenuItemSpriteSI	-1	1	0	0	0	0	0	0	0	resource/image/homescene/jlgg.png	0	0	0.9	0.9	0.5	0.5	822	687	882	602	770	730	812.66	602	772.66	602	-1	奖励公告
15	0	1	1	0	CMenuItemSpriteSI	-1	1	0	0	0	0	0	0	0	resource/image/homescene/jchd.png	0	0	0.9	0.9	0.5	0.5	932	687	992	602	880	730	922.66	602	882.66	602	-1	精彩活动
16	0	5	1	0	CMenuItemSprite	-2	1	0	0	0	0	0	0	0	resource/image/homescene/more_open.png	resource/image/homescene/more_close.png	0	0	0	0.5	0.5	1032	55	1092	55	980	55	1022.66	55	982.66	55	56	更多按钮
17	0	0	1	0	SceneEffect	0	1	0	0	0	2017	0	0	0	0	0	0	0	0	0.5	0.5	822	687	882	602	770	730	812.66	602	772.66	602	-1	奖励公告提示
18	0	0	1	0	SceneEffect	0	1	0	0	0	2017	0	0	0	0	0	0	0	0	0.5	0.5	932	687	992	602	880	730	922.66	602	882.66	602	-1	精彩活动提示
19	0	0	1	0	SceneEffect	0	1	0	0	0	2017	0	0	0	0	0	0	0	0	0.5	0.5	1032	572	1092	487	980	615	1022.66	487	982.66	487	-1	充值提示
20	0	0	1	0	SceneEffect	0	1	0	0	0	2017	0	0	0	0	0	0	0	0	0.5	0.5	602	687	662	602	550	730	592.66	602	552.66	602	-1	讨伐魔王提示
21	0	2	1	0	CCLabelTTF	0	1	0	43	0	0	0	0	0	0	0	0	0	0	0.5	0.5	1030	648	1092	562	980	690	1022.66	562	982.66	562	-1	快速出城进度
22	0	2	1	0	CCLabelTTF	0	1	0	52	0	0	0	0	0	0	0	0	0	0	0.5	0.5	1032	583	1092	498	980	627	1022.66	498	982.66	498	-1	vip等级文字
23	0	2	1	0	CCornerNumIcon	0	1	0	48	0	0	0	0	0	resource/image/newpublic/corner_1.png	resource/image/newpublic/corner_2.png	resource/image/newpublic/corner_3.png	0	0	0.5	0.5	742	702	802	622	690	750	732.66	622	692.66	622	-1	征收角标
