模块	步骤	蒙版透明度	高亮区开始X坐标	高亮区开始Y坐标	高亮区结束X坐标	高亮区结束Y坐标	点击任何区域就直接开始下一步操作	是否显示引导箭头	箭头类型	箭头指令	是否水平翻转箭头	引导箭头X坐标	引导箭头Y坐标	箭头目的X坐标	箭头目的Y坐标	引导箭头旋转角度	是否显示引导员图片	引导员X坐标	引导员Y坐标	是否显示引导文字背景	引导文字背景X坐标	引导文字背景Y坐标	引导文字ID	是否显示跳过按钮	跳过按钮X坐标	跳过按钮Y坐标	音效名称	下个模块ID（0结束）
1	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	193	496	1	15	70	0	-1
1	1	0	630	360	765	480	0	1	1	zzdaiji	0	630	420	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
1	2	0	120	485	330	620	0	1	1	zzdaiji	0	320	560	0	0	90	0	78	13	0	130	10	499	1	15	70	0	-1
1	3	0	770	120	920	180	0	1	1	zzdaiji	0	780	145	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
1	4	0	340	120	480	180	0	1	1	zzdaiji	0	340	150	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
1	5	0	225	470	300	550	0	1	2	zzdaiji	0	305	440	305	75	-180	0	720	398	0	230	220	0	1	15	70	0	-1
1	6	0	970	570	1020	630	0	1	1	zzdaiji	0	980	590	0	0	-135	0	720	398	0	230	220	0	1	15	70	0	-1
2	0	0	820	110	920	155	0	1	1	zzdaiji	0	870	160	0	0	0	0	720	398	0	230	220	0	1	15	70	0	-1
2	1	0	880	420	990	470	0	1	1	zzdaiji	1	930	430	210	390	-180	0	720	398	0	230	220	0	1	15	70	0	-1
2	2	0	950	10	1020	80	0	1	1	zzdaiji	0	970	90	0	0	0	0	720	398	0	230	220	0	1	15	70	0	-1
2	3	0	400	170	1000	420	0	1	1	zzdaiji	0	690	410	290	100	0	0	720	398	0	230	220	0	1	15	70	0	-1
2	4	0	830	90	980	160	0	1	1	zzdaiji	0	830	120	0	0	-90	0	720	398	0	230	220	0	1	15	70	0	-1
2	5	0	950	580	1020	650	0	1	1	zzdaiji	0	950	580	0	0	-135	0	720	398	0	230	220	0	1	15	70	0	-1
3	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	193	516	0	15	70	0	-1
4	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	193	517	0	15	70	0	-1
5	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	193	518	0	15	70	0	-1
6	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	193	520	0	15	70	0	-1
7	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	193	521	0	15	70	0	-1
8	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	193	519	0	15	70	0	-1
9	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	193	523	0	15	70	0	-1
10	0	0	0	0	0	0	1	1	3	zzdaiji-s	0	840	210	0	0	0	1	108	193	1	160	193	524	0	15	70	0	-1
